,T_in,m_flow_in
210,323.0212,11.11174
211,323.0802,11.024751
212,323.1215,10.936910000000001
213,323.14465,10.848255
214,323.14948,10.75883
215,323.13568,10.668675
216,323.10315,10.577834
217,323.05176,10.48635
218,322.98154,10.39427
219,322.89252,10.301639999999999
220,322.78488,10.208508
221,322.65878,10.114923
222,322.5146,10.020935
223,322.35266,9.926598
224,322.1734,9.831961999999999
225,321.97742,9.737082000000001
226,321.7653,9.642012
227,321.53772000000004,9.546807000000001
228,321.2955,9.451528
229,321.03946,9.356228999999999
230,320.77054,9.260969000000001
231,320.48972000000003,9.165811999999999
232,320.19806,9.070813000000001
233,319.89673,8.976039
234,319.58688,8.88155
235,319.26984,8.787410000000001
236,318.9468,8.693683
237,318.61922999999996,8.600434
238,318.28845,8.5077305
239,317.95596,8.415636
240,317.6232,8.32422
241,317.29166000000004,8.233549
242,316.96286000000003,8.143691
243,316.63837,8.054715
244,316.31967000000003,7.9666904999999995
245,316.00833,7.8796864
246,315.70583999999997,7.7937727
247,315.41376,7.7090197
248,315.13354,7.6254973
249,314.86664,7.5432763
250,314.61447000000004,7.462426700000001
251,314.37836,7.38302
252,314.15967,7.3051257
253,313.9596,7.2288146
254,313.7793,7.1541576000000004
255,313.61987,7.081224000000001
256,313.4823,7.0100837
257,313.36752,6.940805999999999
258,313.2763,6.873460000000001
259,313.20932,6.808114
260,313.16718,6.744836
261,313.15033,6.6836925
262,313.1591,6.62475
263,313.19363,6.5680747
264,313.25406,6.513731
265,313.3403,6.461782
266,313.4521,6.4122905999999995
267,313.58914,6.365318
268,313.75092,6.3209243
269,313.93677,6.279168599999999
270,314.14594,6.2401085
271,314.37747,6.2037997
272,314.6303,6.170296
273,314.9033,6.139651000000001
274,315.19504,6.111915
275,315.50412,6.0871377
276,315.82892000000004,6.065366
277,316.1678,6.0466447
278,316.5189,6.031017299999999
279,316.88034,6.018525
280,317.25015,6.009206
281,317.62625,6.003097
282,318.0065,6.0002317000000005
283,318.38873,6.000642
284,318.7707,6.004355400000001
285,319.1501,6.0113997
286,319.52466,6.0217977
287,319.89212000000003,6.03557
288,320.2502,6.0527344
289,320.59662000000003,6.073305
290,320.92917,6.097295
291,321.24567,6.1247115
292,321.54404,6.1555605
293,321.8223,6.189844
294,322.0785,6.2275615
295,322.31082000000004,6.2687078000000005
296,322.51767,6.313275
297,322.69742,6.3612523
298,322.84875,6.412624
299,322.97042999999996,6.467372
300,323.06143,6.525474
301,323.12088,6.586904
302,323.14816,6.651633
303,323.14276,6.719627
304,323.1045,6.790849000000001
305,323.03333,6.8652587
306,322.92944,6.942810499999999
307,322.79327,7.023456599999999
308,322.6255,7.107144
309,322.42697000000004,7.193816
310,322.19876,7.283413
311,321.94226000000003,7.375870699999999
312,321.65897,7.4711213
313,321.35062,7.569092299999999
314,321.01917000000003,7.669708
315,320.66675,7.772889
316,320.29572,7.878552
317,319.9085,7.986609
318,319.50775,8.096971
319,319.09622,8.209539
320,318.67682,8.32422
321,318.25247,8.440908
322,317.82626,8.5595
323,317.4013,8.679884
324,316.98068,8.80195
325,316.56763,8.925582
326,316.1652,9.050659
327,315.7765,9.17706
328,315.40457000000004,9.304659
329,315.05237,9.433328999999999
330,314.7227,9.562937
331,314.41823999999997,9.693349000000001
332,314.14157,9.824428999999999
333,313.895,9.9560375
334,313.6807,10.088033
335,313.50055,10.220271
336,313.35623,10.352607
337,313.2492,10.484891000000001
338,313.18057000000005,10.616974
339,313.15115,10.748704
340,313.1615,10.87993
341,313.21185,11.010495
342,313.30206,11.140245
343,313.43172999999996,11.269025
344,313.6001,11.396675
345,313.80606,11.523039
346,314.04822,11.647959
347,314.32486,11.7712755
348,314.63388,11.892831
349,314.97302,12.012467
350,315.33957000000004,12.130028
351,315.7307,12.245355
352,316.14328,12.358293
353,316.57394,12.468686
354,317.0191,12.576382
355,317.47507,12.681227999999999
356,317.93796000000003,12.783073
357,318.4038,12.881772
358,318.86856,12.977178
359,319.32816,13.069144999999999
360,319.7785,13.157536499999999
361,320.2155,13.242213000000001
362,320.63525,13.323041
363,321.0338,13.39989
364,321.40744,13.472631
365,321.75262000000004,13.541144000000001
366,322.066,13.605309
367,322.3445,13.665010999999998
368,322.58536000000004,13.720141
369,322.78604,13.770595000000002
370,322.9444,13.816272
371,323.0587,13.857079
372,323.12756,13.892926000000001
373,323.15,13.923732000000001
